Injun => 
kind => correct.
kinder => correct.
kindergarten => correct.
kindest => correct.
kindhearted => correct.
kindle => correct.
kindled => correct.
kindles => correct.
kindling => correct.
kindly => correct.
kindness => correct.
kindred => correct.
kinds => correct.
kinetic => correct.
king => correct.
kingdom => correct.
kingdoms => correct.
kingly => correct.
kingpin => correct.
kings => correct.
Kingsbury => 
Kingsley => 
Kingston => 
Kingstown => 
Kingwood => correct.
kink => correct.
kinky => correct.
Kinney => kidney.
Kinnickinnic => 
Kinsey => linsey, winsey.
Kinshasha => 
kinship => correct.
kinsman => correct.
kiosk => correct.
Kiowa => 
Kipling => kitling, kidling, kipping, killing.
Kirby => 
Kirchner => 
Kirchoff => 
Kirk => correct.
Kirkland => 
Kirkpatrick => 
Kirkwood => 
Kirov => 
kiss => correct.
kissed => correct.
kisser => correct.
kissers => correct.
kisses => correct.
kissing => correct.
kit => correct.
Kitakyushu => 
kitchen => correct.
kitchenette => correct.
kitchens => correct.
kite => correct.
kited => correct.
kites => correct.
kiting => correct.
kits => correct.
kitten => correct.
kittenish => correct.
kittens => correct.
kitty => correct.
Kiwanis => 
Klan => plan, kulan, alan, clan, elan, flan.
Klaus => 
klaxon => correct.
Klein => olein.
Kleinrock => 
Kline => kine, line, koine, aline, cline.
kludge => correct.
kludges => correct.
Klux => flux, lux.
klystron => correct.
knack => correct.
Knapp => knap, knap, knaps.
knapsack => correct.
knapsacks => correct.
Knauer => knaur.
knave => correct.
knaves => correct.
knead => correct.
kneads => correct.
knee => correct.
kneecap => correct.
kneed => correct.
kneeing => correct.
kneel => correct.
kneeled => correct.
kneeling => correct.
kneels => correct.
knees => correct.
knell => correct.
knells => correct.
knelt => correct.
knew => correct.
Knickerbocker => correct.
Knickerbockers => correct.
knife => correct.
knifed => correct.
knifes => correct.
knifing => correct.
knight => correct.
knighted => correct.
knighthood => correct.
knighting => correct.
knightly => correct.
knights => correct.
Knightsbridge => 
knit => correct.
knits => correct.
knives => correct.
knob => correct.
Knobeloch => 
knobs => correct.
knock => correct.
knockdown => correct.
knocked => correct.
knocker => correct.
knockers => correct.
knocking => correct.
knockout => correct.
knocks => correct.
knoll => correct.
knolls => correct.
Knossos => 
knot => correct.
knots => correct.
Knott => knots, knout, knot, knot, nott.
knotted => correct.
knotting => correct.
know => correct.
knowable => correct.
knower => correct.
knowhow => correct.
knowing => correct.
knowingly => correct.
knowledge => correct.
knowledgeable => correct.
Knowles => knowes.
Knowlton => 
known => correct.
knows => correct.
Knox => know, knop, knot, knob.
Knoxville => 
knuckle => correct.
knuckled => correct.
knuckles => correct.
Knudsen => 
Knudson => 
Knuth => knut.
Knutsen => 
Knutson => 
koala => correct.
Kobayashi => 
Koch => roch, och, koph, loch.
Kochab => 
Kodachrome => 
Kodak => 
Kodiak => 
Koenig => 
Koenigsberg => 
Kohler => 
Kong => bong, dong, gong, hong, long, kon, klong.
Konrad => 
Koppers => hoppers, loppers, moppers, boppers, coppers.
Koran => korun, kora, loran, koan, toran, koban, korai.
Korea => kores, kora, kore, korma.
Korean => 
Koreans => 
kosher => correct.
Kovacs => 
Kowalewski => 
Kowalski => 
Kowloon => 
Kowtow => correct.
Kraemer => 
Krakatoa => 
Krakow => 
Kramer => framer, krater.
Krause => 
Krebs => kerbs, rebs.
Kremlin => correct.
Kresge => 
Krieger => 
Krishna => 
Kristin => 
Kronecker => 
Krueger => 
Kruger => 
Kruse => ruse, cruse, druse.
Ku => mu, nu, kyu, ka, xu.
Kuala => koala.
kudo => correct.
Kuenning => kenning.
Kuhn => 
Kumar => 
Kurd => urd, burd, curd, nurd, surd, turd.
Kurdish => 
Kurt => kart, yurt, curt, hurt, kuri.
Kuwait => correct.
Kuwaiti => kuwait.
Kyoto => koto.
lab => correct.
Laban => lagan, lauan.
label => correct.
labeled => correct.
labeling => correct.
labelled => correct.
labeller => correct.
labellers => correct.
labelling => correct.
labels => correct.
labor => correct.
laboratories => correct.
laboratory => correct.
labored => correct.
laborer => correct.
laborers => correct.
laboring => correct.
laborings => laboring.
laborious => correct.
laboriously => correct.
labors => correct.
Labrador => correct.
labs => correct.
labyrinth => correct.
labyrinths => correct.
Lac => correct.
lace => correct.
laced => correct.
lacerate => correct.
lacerated => correct.
lacerates => correct.
lacerating => correct.
laceration => correct.
lacerations => correct.
Lacerta => 
laces => correct.
Lacey => correct.
Lachesis => 
lacing => correct.
lack => correct.
Lackawanna => 
lacked => correct.
lackey => correct.
lacking => correct.
lacks => correct.
lacquer => correct.
lacquered => correct.
lacquers => correct.
lacrosse => correct.
lactose => correct.
lacy => correct.
lad => correct.
ladder => correct.
laden => correct.
ladies => correct.
lading => correct.
ladle => correct.
lads => correct.
lady => correct.
ladylike => correct.
Lafayette => 
lag => correct.
lager => correct.
lagers => correct.
lagoon => correct.
lagoons => correct.
Lagos => lags, logos, dagos, kagos, sagos, largos.
Lagrange => 
Lagrangian => 
lags => correct.
Laguerre => 
Laguna => correct.
Lahore => 
laid => correct.
Laidlaw => 
lain => correct.
lair => correct.
lairs => correct.
laissez => correct.
lake => correct.
Lakehurst => 
lakes => correct.
Lakewood => latewood, lacewood.
Lamar => lazar, damar, lahar, lamas, lamer, lama.
Lamarck => 
lamb => correct.
lambda => correct.
lambdas => correct.
lambert => correct.
lambs => correct.
lame => correct.
lamed => correct.
lamely => correct.
lameness => correct.
lament => correct.
lamentable => correct.
lamentation => correct.
lamentations => correct.
lamented => correct.
lamenting => correct.
laments => correct.
lames => correct.
laminar => correct.
laming => correct.
lamp => correct.
lamplight => correct.
lampoon => correct.
Lamport => 
lamprey => correct.
lamps => correct.
Lana => correct.
Lancashire => 
Lancaster => 
lance => correct.
lanced => correct.
Lancelot => lancelet.
lancer => correct.
lances => correct.
land => correct.
landed => correct.
lander => correct.
landers => correct.
landfill => correct.
landing => correct.
landings => correct.
Landis => lanais, lands.
landladies => correct.
landlady => correct.
landlord => correct.
landlords => correct.
landmark => correct.
landmarks => correct.
landowner => correct.
landowners => correct.
lands => correct.
landscape => correct.
landscaped => correct.
landscapes => correct.
landscaping => correct.
landslide => correct.
Landwehr => 
lane => correct.
lanes => correct.
Lang => correct.
Lange => langue, longe, flange, lane, large, lunge, mange, range, lang.
Langeland => rangeland.
Langford => 
Langley => correct.
Langmuir => 
language => correct.
languages => correct.
languid => correct.
languidly => correct.
languidness => correct.
languish => correct.
languished => correct.
languishes => correct.
languishing => correct.
Lanka => lanky, lana, tanka, laika, lank.
Lansing => lasing, lensing, lancing, lapsing, landing.
lantern => correct.
lanterns => correct.
Lao => loo, lac, hao, la, tao, lab, lo.
Laocoon => 
Laos => loos, las, lacs, naos, los, taos, labs.
Laotian => 
Laotians => 
lap => correct.
lapel => correct.
lapels => correct.
Laplace => 
Laplacian => 
lapping => correct.
laps => correct.
lapse => correct.
lapsed => correct.
lapses => correct.
lapsing => correct.
Laramie => 
lard => correct.
larder => correct.
Laredo => 
Lares => correct.
large => correct.
largely => correct.
largeness => correct.
larger => correct.
largest => correct.
lark => correct.
Larkin => lakin, parkin.
larks => correct.
Larry => carry, harry, marry, parry, tarry.
Lars => correct.
Larsen => largen, sarsen.
Larson => arson, lardon, parson.
larva => correct.
larvae => correct.
larynx => correct.
lascivious => correct.
laser => correct.
lasers => correct.
lash => correct.
lashed => correct.
lashes => correct.
lashing => correct.
lashings => correct.
lass => correct.
lasses => correct.
lasso => correct.
last => correct.
lasted => correct.
lasting => correct.
lastly => correct.
lasts => correct.
Laszlo => 
latch => correct.
latched => correct.
latches => correct.
latching => correct.
late => correct.
lately => correct.
latency => correct.
lateness => correct.
latent => correct.
later => correct.
lateral => correct.
laterally => correct.
Lateran => lateral, cateran, laterad.
latest => correct.
LaTeX => correct.
lathe => correct.
Lathrop => 
Latin => correct.
Latinate => laminate, patinate.
Latinity => correct.
Latinization => correct.
Latinizations => correct.
Latinize => correct.
Latinized => correct.
Latinizer => latinized, latinizes, latinize.
Latinizers => latinizes.
Latinizes => correct.
Latinizing => correct.
latitude => correct.
latitudes => correct.
latrine => correct.
latrines => correct.
Latrobe => 
latter => correct.
latterly => correct.
lattice => correct.
lattices => correct.
Lattimer => 
Latvia => correct.
laudable => correct.
Lauderdale => 
Laue => lake, lane, lace, laude, lame, lade.
laugh => correct.
laughable => correct.
laughably => correct.
laughed => correct.
laughing => correct.
laughingly => correct.
laughingstock => correct.
Laughlin => 
laughs => correct.
laughter => correct.
launch => correct.
launched => correct.
launcher => correct.
launches => correct.
launching => correct.
launchings => launching.
launder => correct.
laundered => correct.
launderer => correct.
laundering => correct.
launderings => laundering.
launders => correct.
Laundromat => 
Laundromats => 
laundry => correct.
laureate => correct.
laurel => correct.
laurels => correct.
Lauren => laurel.
Laurence => 
Laurent => 
Laurentian => 
Laurie => laurae.
Lausanne => 
lava => correct.
lavatories => correct.
lavatory => correct.
lavender => correct.
lavish => correct.
lavished => correct.
lavishing => correct.
lavishly => correct.
Lavoisier => 
law => correct.
lawbreaker => correct.
Lawford => 
lawful => correct.
lawfully => correct.
lawgiver => correct.
lawless => correct.
lawlessness => correct.
lawn => correct.
lawns => correct.
Lawrence => 
Lawrenceville => 
laws => correct.
Lawson => 
lawsuit => correct.
lawsuits => correct.
lawyer => correct.
lawyers => correct.
lax => correct.
laxative => correct.
lay => correct.
layer => correct.
layered => correct.
layering => correct.
layers => correct.
laying => correct.
layman => correct.
laymen => correct.
layoff => correct.
layoffs => correct.
layout => correct.
layouts => correct.
lays => correct.
Layton => dayton.
Lazarus => lazars.
lazed => correct.
lazier => correct.
laziest => correct.
lazily => correct.
laziness => correct.
lazing => correct.
lazy => correct.
lazybones => 
lead => correct.
leaded => correct.
leaden => correct.
leader => correct.
leaders => correct.
leadership => correct.
leaderships => correct.
leading => correct.
leadings => correct.
leads => correct.
leaf => correct.
leafed => correct.
leafiest => correct.
leafing => correct.
leafless => correct.
leaflet => correct.
leaflets => correct.
leafy => correct.
league => correct.
leagued => correct.
leaguer => correct.
